id,name,country,latitude,longitude,FT10,FT16
8231,Br�_1-6,SWE,56.3,16,100.75,108.6666667
8233,Dem-4,USA,41.1876,-87.1923,75.5,69.25
8234,Gul1-2,SWE,56.4606,15.8127,102.6666667,92.75
8235,Hod,CZE,48.8,17.1,74.5,68.75
8236,HSm,CZE,49.33,15.76,74,64.66666667
8237,K�_vlinge-1,SWE,55.8,13.1,97.25,98.75
8238,Kent,UK,51.15,0.4,79.5,52.25
8239,PHW-3,GER,51,7,56,42.5
8240,Kulturen-1,SWE,55.705,13.196,94.5,83
8241,Liarum,SWE,55.9473,13.821,90.75,66.25
8242,Lill�_-1,SWE,56.1494,15.7884,116.75,132
8243,PHW-2,ITA,43.7703,11.2547,80,68.25
8244,PHW-34,FRA,48.6103,2.3086,90.5,58.5
8246,NC-6,USA,35,-79.18,70.5,76.5
8247,San-2,SWE,56.07,13.74,98,94.66666667
8249,Vimmerby,SWE,57.7,15.8,93.75,88
8256,B�1-2,SWE,56.4,12.9,73.25,45.25
8258,B�4-1,SWE,56.4,12.9,93,NA
8259,B�5-1,SWE,56.4,12.9,88,65.5
8264,Bla-1,ESP,41.6833,2.8,65.5,63.5
8266,Boo2-1,SWE,55.86,13.51,105,NA
8275,Cen-0,FRA,49,0.5,78.33333333,57
8283,Dra3-1,SWE,55.76,14.12,84.25,82.66666667
8284,DraII-1,CZE,49.4112,16.2815,83.25,76
8285,DraIII-1,CZE,49.4112,16.2815,66.5,51.66666667
8290,En-1,GER,50,8.5,63.25,44.25
8297,Ge-0,SUI,46.5,6.08,85.75,79
8306,Hov4-1,SWE,56.1,13.74,102.5,95
8307,Hovdala-6,SWE,56.1,13.74,79.25,64.25
8311,In-0,AUT,47.5,11.5,65.5,59.25
8312,Is-0,GER,50.5,7.5,65.75,52
8325,Lip-0,POL,50,19.3,77,64.33333333
8326,Lis-1,SWE,56.0328,14.775,86.75,58
8334,Lu-1,SWE,55.71,13.2,74.75,54
8335,Lund,SWE,55.71,13.2,100,92.25
8337,Mir-0,ITA,44,12.37,74,72.5
8343,Na-1,FRA,47.5,1.5,81.25,59.75
8351,Ost-0,SWE,60.25,18.37,103,97.5
8353,Pa-1,ITA,38.07,13.22,50.75,35.25
8354,Per-1,RUS,58,56.3167,82,58.75
8357,Pla-0,ESP,41.5,2.25,71.75,55.5
8365,Rak-2,CZE,49,16,74,39.5
8366,Rd-0,GER,50.5,8.5,78.33333333,62.75
8369,Rev-1,SWE,55.6942,13.4504,98,94.66666667
8376,Sanna-2,SWE,62.69,18,103,104
8378,Sap-0,CZE,49.49,14.24,66.25,50.33333333
8386,Sr:5,SWE,58.9,11.2,75,49
8387,St-0,SWE,59,18,74.25,48.33333333
8419,Wil-1,LTU,54.6833,25.3167,94.25,58.75
8420,Kelsterbach-4,GER,50.0667,8.5333,74.75,47.5
8422,Fj�_1-1,SWE,56.06,14.29,116.75,116.25
8423,Hov2-1,SWE,56.1,13.74,98.5,69.75
8424,Kas-2,IND,35,77,68.25,80
8426,Ull1-1,SWE,56.06,13.97,62.75,40.25
8428,Uod-2,AUT,48.3,14.45,66.75,41.5
8430,Lisse,NED,52.25,4.5667,90.5,78
8472,LP3413.41,USA,41.6862,-86.8513,63.5,40.5
