id,experiment,tray,long_edge,short_edge,mother,genotype,type,seq_plate,seq_row,seq_col
F2.2.071,F2s,5,6,3,F1.2.02,1158 x 6125,F2,,,
S2.5.05,F2s,5,6,4,S1.5.16,6092,selfed_parent,,,
F2.7.069,F2s,5,6,5,F1.7.09,8231 x 1158,F2,,,
F2.1.067,F2s,5,6,6,F1.1.02,1158 x 6092,F2,,,
F2.5.067,F2s,5,7,1,F1.5.05,6024 x 8231,F2,,,
F2.7.070,F2s,5,7,2,F1.7.09,8231 x 1158,F2,,,
F2.2.072,F2s,5,7,3,F1.2.02,1158 x 6125,F2,,,
F2.5.068,F2s,5,7,4,F1.5.05,6024 x 8231,F2,,,
F2.1.068,F2s,5,7,5,F1.1.02,1158 x 6092,F2,,,
F2.7.071,F2s,5,7,6,F1.7.09,8231 x 1158,F2,2,G,10
F2.7.072,F2s,5,8,1,F1.7.09,8231 x 1158,F2,2,F,10
F2.2.073,F2s,5,8,2,F1.2.02,1158 x 6125,F2,,,
F2.7.073,F2s,5,8,3,F1.7.09,8231 x 1158,F2,2,E,10
F2.1.069,F2s,5,8,4,F1.1.02,1158 x 6092,F2,,,
F2.1.070,F2s,5,8,5,F1.1.02,1158 x 6092,F2,,,
F2.1.071,F2s,5,8,6,F1.1.02,1158 x 6092,F2,,,
F2.5.069,F2s,5,9,1,F1.5.05,6024 x 8231,F2,,,
F2.1.072,F2s,5,9,2,F1.1.02,1158 x 6092,F2,,,
F2.5.070,F2s,5,9,3,F1.5.05,6024 x 8231,F2,,,
F2.1.073,F2s,5,9,4,F1.1.02,1158 x 6092,F2,,,
F2.1.074,F2s,5,9,5,F1.1.02,1158 x 6092,F2,,,
F2.7.074,F2s,5,9,6,F1.7.09,8231 x 1158,F2,2,H,10
F2.5.071,F2s,5,10,1,F1.5.05,6024 x 8231,F2,,,
F2.5.072,F2s,5,10,2,F1.5.05,6024 x 8231,F2,,,
F2.7.075,F2s,5,10,3,F1.7.09,8231 x 1158,F2,,,
F2.5.073,F2s,5,10,4,F1.5.05,6024 x 8231,F2,,,
F2.2.074,F2s,5,10,5,F1.2.02,1158 x 6125,F2,,,
F2.5.074,F2s,5,10,6,F1.5.05,6024 x 8231,F2,,,
F2.5.075,F2s,5,11,1,F1.5.05,6024 x 8231,F2,,,
NA,F2s,5,11,2,NA,NA,blank,,,
S2.7.05,F2s,5,11,3,S1.7.08,6125,selfed_parent,,,
S2.10.05,F2s,5,11,4,S1.10.01,8231,selfed_parent,,,
F2.1.075,F2s,5,11,5,F1.1.02,1158 x 6092,F2,,,
F2.2.075,F2s,5,11,6,F1.2.02,1158 x 6125,F2,,,
F2.5.076,F2s,6,1,1,F1.5.05,6024 x 8231,F2,,,
F2.7.076,F2s,6,1,2,F1.7.09,8231 x 1158,F2,3,B,9
F2.2.076,F2s,6,1,3,F1.2.02,1158 x 6125,F2,,,
F2.1.076,F2s,6,1,4,F1.1.02,1158 x 6092,F2,,,
S2.7.06,F2s,6,1,5,S1.7.08,6125,selfed_parent,,,
F2.2.077,F2s,6,1,6,F1.2.02,1158 x 6125,F2,,,
F2.1.077,F2s,6,2,1,F1.1.02,1158 x 6092,F2,,,
F2.5.077,F2s,6,2,2,F1.5.05,6024 x 8231,F2,,,
F2.5.078,F2s,6,2,3,F1.5.05,6024 x 8231,F2,,,
F2.2.078,F2s,6,2,4,F1.2.02,1158 x 6125,F2,,,
F2.1.078,F2s,6,2,5,F1.1.02,1158 x 6092,F2,,,
F2.1.079,F2s,6,2,6,F1.1.02,1158 x 6092,F2,,,
F2.2.079,F2s,6,3,1,F1.2.02,1158 x 6125,F2,,,
F2.1.080,F2s,6,3,2,F1.1.02,1158 x 6092,F2,,,
F2.5.079,F2s,6,3,3,F1.5.05,6024 x 8231,F2,,,
F2.7.077,F2s,6,3,4,F1.7.09,8231 x 1158,F2,3,H,8
F2.5.080,F2s,6,3,5,F1.5.05,6024 x 8231,F2,,,
F2.5.081,F2s,6,3,6,F1.5.05,6024 x 8231,F2,,,
F2.5.082,F2s,6,4,1,F1.5.05,6024 x 8231,F2,,,
S2.03.06,F2s,6,4,2,S1.03.01,6024,selfed_parent,,,
F2.7.078,F2s,6,4,3,F1.7.09,8231 x 1158,F2,3,D,8
F2.7.079,F2s,6,4,4,F1.7.09,8231 x 1158,F2,3,A,9
F2.7.080,F2s,6,4,5,F1.7.09,8231 x 1158,F2,3,F,8
F2.5.083,F2s,6,4,6,F1.5.05,6024 x 8231,F2,,,
F2.5.084,F2s,6,5,1,F1.5.05,6024 x 8231,F2,,,
F2.2.080,F2s,6,5,2,F1.2.02,1158 x 6125,F2,,,
F2.7.081,F2s,6,5,3,F1.7.09,8231 x 1158,F2,3,G,8
F2.1.081,F2s,6,5,4,F1.1.02,1158 x 6092,F2,,,
F2.2.081,F2s,6,5,5,F1.2.02,1158 x 6125,F2,,,
F2.7.082,F2s,6,5,6,F1.7.09,8231 x 1158,F2,3,E,8
F2.5.085,F2s,6,6,1,F1.5.05,6024 x 8231,F2,,,
F2.2.082,F2s,6,6,2,F1.2.02,1158 x 6125,F2,,,
