experiment,tray,row,column,genotype,bag_received
1001G,7,2,3,NA,
1001G,7,3,11,NA,
1001G,7,4,11,NA,
1001G,7,5,5,NA,
1001G,7,6,6,NA,
1001G,8,1,6,NA,
1001G,8,2,3,NA,
1001G,8,3,6,NA,
1001G,8,4,10,NA,
1001G,8,5,9,NA,
1001G,8,6,4,NA,
1001G,9,1,2,NA,
1001G,9,2,3,NA,
1001G,9,3,8,NA,
1001G,9,4,10,NA,
1001G,9,5,4,NA,
1001G,9,6,7,NA,
crosses,10,1,11,1158 x 6092,
crosses,10,3,1,1158 x 6092,1
crosses,10,6,5,1158 x 6092,1
crosses,11,1,11,1158 x 6092,
crosses,11,3,10,1158 x 6092,
crosses,11,5,9,1158 x 6092,
crosses,12,1,3,1158 x 6092,
crosses,12,3,10,1158 x 6092,
crosses,12,6,10,1158 x 6092,
crosses,13,1,3,1158 x 6092,
crosses,13,4,4,1158 x 6092,
crosses,13,6,5,1158 x 6092,
crosses,14,1,8,1158 x 6092,
crosses,14,4,5,1158 x 6092,1
crosses,14,6,4,1158 x 6092,
crosses,15,2,5,1158 x 6092,
crosses,15,3,11,1158 x 6092,
crosses,15,5,11,1158 x 6092,
crosses,10,2,2,1158 x 6125,1
crosses,10,4,2,1158 x 6125,1
crosses,10,5,5,1158 x 6125,1
crosses,11,1,2,1158 x 6125,1
crosses,11,4,2,1158 x 6125,
crosses,11,6,2,1158 x 6125,
crosses,12,2,2,1158 x 6125,1
crosses,12,3,1,1158 x 6125,
crosses,12,5,10,1158 x 6125,1
crosses,13,1,5,1158 x 6125,1
crosses,13,3,7,1158 x 6125,1
crosses,13,5,10,1158 x 6125,
crosses,14,2,8,1158 x 6125,1
crosses,14,3,5,1158 x 6125,1
crosses,14,5,1,1158 x 6125,1
crosses,15,1,7,1158 x 6125,1
crosses,15,3,5,1158 x 6125,1
crosses,15,5,2,1158 x 6125,1
crosses,10,1,7,1158 x 8231,1
crosses,10,4,3,1158 x 8231,1
crosses,10,6,1,1158 x 8231,
crosses,11,2,8,1158 x 8231,
crosses,11,3,4,1158 x 8231,1
crosses,11,5,11,1158 x 8231,1
crosses,12,1,6,1158 x 8231,1
crosses,12,3,3,1158 x 8231,1
crosses,12,6,4,1158 x 8231,1
crosses,13,2,1,1158 x 8231,
crosses,13,4,7,1158 x 8231,
crosses,13,5,3,1158 x 8231,
crosses,14,2,2,1158 x 8231,
crosses,14,4,2,1158 x 8231,
crosses,14,6,3,1158 x 8231,1
crosses,15,1,11,1158 x 8231,
crosses,15,3,3,1158 x 8231,
crosses,15,6,7,1158 x 8231,1
crosses,10,2,3,1158a,1
crosses,10,4,7,1158a,1
crosses,10,5,3,1158a,
crosses,11,2,3,1158a,
crosses,11,4,3,1158a,
crosses,11,6,9,1158a,1
crosses,12,2,6,1158a,1
crosses,12,4,1,1158a,1
crosses,12,6,2,1158a,1
crosses,13,2,7,1158a,1
crosses,13,3,2,1158a,
crosses,13,5,1,1158a,1
crosses,14,2,11,1158a,
crosses,14,4,4,1158a,
crosses,14,5,3,1158a,1
crosses,15,1,6,1158a,1
crosses,15,4,8,1158a,
crosses,15,5,4,1158a,
crosses,10,1,5,1158b,1
crosses,10,4,4,1158b,1
crosses,10,5,1,1158b,1
crosses,11,2,10,1158b,
crosses,11,3,2,1158b,
crosses,11,6,11,1158b,1
crosses,12,2,3,1158b,1
crosses,12,4,2,1158b,
crosses,12,6,5,1158b,1
crosses,13,1,6,1158b,1
crosses,13,3,4,1158b,1
crosses,13,5,8,1158b,
crosses,14,2,7,1158b,1
crosses,14,3,3,1158b,
crosses,14,5,8,1158b,
crosses,15,2,1,1158b,
crosses,15,4,5,1158b,
crosses,15,5,7,1158b,1
crosses,10,1,8,6024 x 6092,1
crosses,10,4,9,6024 x 6092,1
crosses,10,6,4,6024 x 6092,1
crosses,11,2,4,6024 x 6092,
crosses,11,4,4,6024 x 6092,1
crosses,11,6,7,6024 x 6092,
crosses,12,2,9,6024 x 6092,1
crosses,12,4,3,6024 x 6092,1
crosses,12,6,3,6024 x 6092,1
crosses,13,2,2,6024 x 6092,
crosses,13,3,10,6024 x 6092,
crosses,13,6,6,6024 x 6092,
crosses,14,2,3,6024 x 6092,
crosses,14,4,6,6024 x 6092,1
crosses,14,5,2,6024 x 6092,
crosses,15,2,10,6024 x 6092,
crosses,15,4,10,6024 x 6092,
crosses,15,6,4,6024 x 6092,
crosses,10,1,4,6024 x 8231,1
crosses,10,3,10,6024 x 8231,1
crosses,10,6,2,6024 x 8231,
crosses,11,2,11,6024 x 8231,1
crosses,11,3,1,6024 x 8231,1
crosses,11,6,4,6024 x 8231,
crosses,12,1,4,6024 x 8231,1
crosses,12,4,11,6024 x 8231,1
crosses,12,5,5,6024 x 8231,1
crosses,13,2,3,6024 x 8231,
crosses,13,4,9,6024 x 8231,1
crosses,13,6,3,6024 x 8231,
crosses,14,2,5,6024 x 8231,1
crosses,14,3,9,6024 x 8231,
crosses,14,5,5,6024 x 8231,1
crosses,15,1,4,6024 x 8231,1
crosses,15,4,11,6024 x 8231,
crosses,15,5,5,6024 x 8231,
crosses,10,1,10,6024a,1
crosses,10,3,4,6024a,1
crosses,10,5,4,6024a,1
crosses,11,2,6,6024a,
crosses,11,3,7,6024a,1
crosses,11,5,3,6024a,
crosses,12,1,8,6024a,1
crosses,12,3,11,6024a,1
crosses,12,6,7,6024a,
crosses,13,1,4,6024a,
crosses,13,4,1,6024a,1
crosses,13,6,11,6024a,
crosses,14,2,9,6024a,
crosses,14,3,2,6024a,1
