experiment,tray,long_edge,short_edge,mother,genotype,type
pure_lines,23,11,5,Hossjo-2,Hossjo-2,pure_lines
pure_lines,23,11,6,2017_stock,6046,pure_lines
pure_lines,24,1,1,,8231,pure_lines
pure_lines,24,1,2,,1158,pure_lines
pure_lines,24,1,3,,6046,pure_lines
pure_lines,24,1,4,2017_stock,6184,pure_lines
pure_lines,24,1,5,2017_stock,6024,pure_lines
pure_lines,24,1,6,2017_stock,6184,pure_lines
pure_lines,24,2,1,,8231,pure_lines
pure_lines,24,2,2,,6024,pure_lines
pure_lines,24,2,3,2017_stock,8231,pure_lines
pure_lines,24,2,4,,8231,pure_lines
pure_lines,24,2,5,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,24,2,6,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,24,3,1,,6184,pure_lines
pure_lines,24,3,2,2017_stock,6184,pure_lines
pure_lines,24,3,3,2017_stock,6125,pure_lines
pure_lines,24,3,4,2017_stock,6017,pure_lines
pure_lines,24,3,5,2017_stock,6017,pure_lines
pure_lines,24,3,6,2017_stock,6017,pure_lines
pure_lines,24,4,1,2017_stock,6237,pure_lines
pure_lines,24,4,2,2017_stock,6046,pure_lines
pure_lines,24,4,3,2017_stock,1158,pure_lines
pure_lines,24,4,4,Hossjo-3,Hossjo-3,pure_lines
pure_lines,24,4,5,2017_stock,1158,pure_lines
pure_lines,24,4,6,,6244,pure_lines
pure_lines,24,5,1,,6125,pure_lines
pure_lines,24,5,2,,6046,pure_lines
pure_lines,24,5,3,,8231,pure_lines
pure_lines,24,5,4,Lovvik-3,Lovvik-3,pure_lines
pure_lines,24,5,5,,1158,pure_lines
pure_lines,24,5,6,2017_stock,6125,pure_lines
pure_lines,24,6,1,,6237,pure_lines
pure_lines,24,6,2,2017_stock,8231,pure_lines
pure_lines,24,6,3,2017_stock,6092,pure_lines
pure_lines,24,6,4,,8231,pure_lines
pure_lines,24,6,5,,6237,pure_lines
pure_lines,24,6,6,2017_stock,8231,pure_lines
pure_lines,24,7,1,2017_stock,6244,pure_lines
pure_lines,24,7,2,2017_stock,1158,pure_lines
pure_lines,24,7,3,2017_stock,6125,pure_lines
pure_lines,24,7,4,Hossjo-3,Hossjo-3,pure_lines
pure_lines,24,7,5,,1158,pure_lines
pure_lines,24,7,6,,8231,pure_lines
pure_lines,24,8,1,,6244,pure_lines
pure_lines,24,8,2,,6184,pure_lines
pure_lines,24,8,3,2017_stock,6125,pure_lines
pure_lines,24,8,4,,6024,pure_lines
pure_lines,24,8,5,,6017,pure_lines
pure_lines,24,8,6,,6244,pure_lines
pure_lines,24,9,1,2017_stock,6046,pure_lines
pure_lines,24,9,2,,6024,pure_lines
