id,mother,father,genotype,generation,site,Sown
P1.5.38,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.39,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.40,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.41,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.42,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.43,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.44,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.45,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.46,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.47,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.48,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.49,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.50,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.51,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.52,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.53,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.5.54,2017_stock,2017_stock,6092,S1,Saltea,August_2019
P1.6.01,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.02,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.03,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.04,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.05,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.06,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.07,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.08,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.09,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.10,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.11,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.12,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.13,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.14,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.15,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.16,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.17,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.18,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.19,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.20,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.21,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.22,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.23,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.24,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.25,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.26,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.27,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.28,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.29,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.30,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.31,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.32,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.33,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.34,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.35,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.36,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.37,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.38,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.39,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.40,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.41,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.42,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.43,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.44,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.45,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.46,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.47,2017_stock,2017_stock,6125,S1,Saltea,August_2019
