experiment,tray,long_edge,short_edge,mother,genotype,type
pure_lines,19,2,2,Lovvik-2,Lovvik-2,pure_lines
pure_lines,19,2,3,2017_stock,6184,pure_lines
pure_lines,19,2,4,2017_stock,1158,pure_lines
pure_lines,19,2,5,2017_stock,8231,pure_lines
pure_lines,19,2,6,2017_stock,6244,pure_lines
pure_lines,19,3,1,,6024,pure_lines
pure_lines,19,3,2,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,19,3,3,Hossjo-3,Hossjo-3,pure_lines
pure_lines,19,3,4,2017_stock,6244,pure_lines
pure_lines,19,3,5,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,19,3,6,2017_stock,8231,pure_lines
pure_lines,19,4,1,2017_stock,6244,pure_lines
pure_lines,19,4,2,Lovvik-1,Lovvik-1,pure_lines
pure_lines,19,4,3,,6184,pure_lines
pure_lines,19,4,4,,6017,pure_lines
pure_lines,19,4,5,2017_stock,6244,pure_lines
pure_lines,19,4,6,Hossjo-2,Hossjo-2,pure_lines
pure_lines,19,5,1,,6092,pure_lines
pure_lines,19,5,2,2017_stock,6125,pure_lines
pure_lines,19,5,3,2017_stock,6046,pure_lines
pure_lines,19,5,4,Lovvik-2,Lovvik-2,pure_lines
pure_lines,19,5,5,,6092,pure_lines
pure_lines,19,5,6,2017_stock,6125,pure_lines
pure_lines,19,6,1,Lovvik-3,Lovvik-3,pure_lines
pure_lines,19,6,2,,1158,pure_lines
pure_lines,19,6,3,,8231,pure_lines
pure_lines,19,6,4,2017_stock,6046,pure_lines
pure_lines,19,6,5,NA,NA,pure_lines
pure_lines,19,6,6,2017_stock,6184,pure_lines
pure_lines,19,7,1,,1158,pure_lines
pure_lines,19,7,2,,6017,pure_lines
pure_lines,19,7,3,,6184,pure_lines
pure_lines,19,7,4,,6244,pure_lines
pure_lines,19,7,5,2017_stock,6184,pure_lines
pure_lines,19,7,6,,6244,pure_lines
pure_lines,19,8,1,,6184,pure_lines
pure_lines,19,8,2,,6017,pure_lines
pure_lines,19,8,3,,6125,pure_lines
pure_lines,19,8,4,Lovvik-3,Lovvik-3,pure_lines
pure_lines,19,8,5,Hossjo-3,Hossjo-3,pure_lines
pure_lines,19,8,6,,8231,pure_lines
pure_lines,19,9,1,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,19,9,2,2017_stock,6125,pure_lines
pure_lines,19,9,3,,1158,pure_lines
pure_lines,19,9,4,Lovvik-3,Lovvik-3,pure_lines
pure_lines,19,9,5,Hossjo-1,Hossjo-1,pure_lines
pure_lines,19,9,6,2017_stock,6017,pure_lines
pure_lines,19,10,1,Hossjo-3,Hossjo-3,pure_lines
pure_lines,19,10,2,,6046,pure_lines
pure_lines,19,10,3,2017_stock,6125,pure_lines
pure_lines,19,10,4,2017_stock,6017,pure_lines
pure_lines,19,10,5,Hossjo-3,Hossjo-3,pure_lines
pure_lines,19,10,6,,6024,pure_lines
pure_lines,19,11,1,,6017,pure_lines
pure_lines,19,11,2,,6237,pure_lines
pure_lines,19,11,3,2017_stock,6244,pure_lines
pure_lines,19,11,4,,6017,pure_lines
pure_lines,19,11,5,2017_stock,8231,pure_lines
pure_lines,19,11,6,,6244,pure_lines
pure_lines,20,1,1,2017_stock,6046,pure_lines
pure_lines,20,1,2,,6237,pure_lines
pure_lines,20,1,3,2017_stock,6184,pure_lines
pure_lines,20,1,4,,6024,pure_lines
pure_lines,20,1,5,Lovvik-3,Lovvik-3,pure_lines
pure_lines,20,1,6,Hossjo-1,Hossjo-1,pure_lines
pure_lines,20,2,1,,6092,pure_lines
pure_lines,20,2,2,2017_stock,6092,pure_lines
pure_lines,20,2,3,,8231,pure_lines
pure_lines,20,2,4,2017_stock,6092,pure_lines
pure_lines,20,2,5,2017_stock,6125,pure_lines
pure_lines,20,2,6,2017_stock,6237,pure_lines
pure_lines,20,3,1,2017_stock,6024,pure_lines
pure_lines,20,3,2,,6046,pure_lines
pure_lines,20,3,3,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,20,3,4,,6125,pure_lines
pure_lines,20,3,5,,1158,pure_lines
pure_lines,20,3,6,2017_stock,6244,pure_lines
pure_lines,20,4,1,Lovvik-3,Lovvik-3,pure_lines
pure_lines,20,4,2,,1158,pure_lines
pure_lines,20,4,3,,6046,pure_lines
pure_lines,20,4,4,,6017,pure_lines
pure_lines,20,4,5,2017_stock,6125,pure_lines
pure_lines,20,4,6,Lovvik-1,Lovvik-1,pure_lines
pure_lines,20,5,1,,6046,pure_lines
pure_lines,20,5,2,2017_stock,6024,pure_lines
pure_lines,20,5,3,,6092,pure_lines
pure_lines,20,5,4,,6125,pure_lines
pure_lines,20,5,5,,6017,pure_lines
pure_lines,20,5,6,,6125,pure_lines
pure_lines,20,6,1,2017_stock,6024,pure_lines
pure_lines,20,6,2,Hossjo-3,Hossjo-3,pure_lines
pure_lines,20,6,3,,6125,pure_lines
pure_lines,20,6,4,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,20,6,5,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,20,6,6,NA,NA,pure_lines
pure_lines,20,7,1,2017_stock,1158,pure_lines
pure_lines,20,7,2,,6092,pure_lines
pure_lines,20,7,3,,6184,pure_lines
pure_lines,20,7,4,Lovvik-2,Lovvik-2,pure_lines
pure_lines,20,7,5,2017_stock,6024,pure_lines
pure_lines,20,7,6,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,20,8,1,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,20,8,2,Lovvik-2,Lovvik-2,pure_lines
pure_lines,20,8,3,2017_stock,1158,pure_lines
pure_lines,20,8,4,,6017,pure_lines
pure_lines,20,8,5,2017_stock,6184,pure_lines
pure_lines,20,8,6,2017_stock,6237,pure_lines
pure_lines,20,9,1,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,20,9,2,2017_stock,6092,pure_lines
pure_lines,20,9,3,NA,NA,pure_lines
pure_lines,20,9,4,2017_stock,6046,pure_lines
pure_lines,20,9,5,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,20,9,6,,6017,pure_lines
pure_lines,20,10,1,,6046,pure_lines
pure_lines,20,10,2,2017_stock,6024,pure_lines
pure_lines,20,10,3,,6244,pure_lines
pure_lines,20,10,4,2017_stock,6092,pure_lines
pure_lines,20,10,5,Lovvik-1,Lovvik-1,pure_lines
pure_lines,20,10,6,2017_stock,6237,pure_lines
pure_lines,20,11,1,,6237,pure_lines
pure_lines,20,11,2,Hossjo-1,Hossjo-1,pure_lines
pure_lines,20,11,3,2017_stock,6237,pure_lines
pure_lines,20,11,4,,6125,pure_lines
pure_lines,20,11,5,,6125,pure_lines
pure_lines,20,11,6,,6092,pure_lines
